Age,EstimatedSalary,Gender,IsStudent,DailyInternetUsage,TimeSpentOnApp,Purchased
59,72397,Female,0,215,48.8,1
21,89905,Male,0,130,4.21,1
46,66877,Male,1,284,33.14,1
35,70500,Female,0,283,46.07,1
43,37003,Male,0,195,50.14,1
51,96032,Female,0,239,50.21,1
27,145327,Female,0,215,25.69,1
53,102529,Female,1,56,9.37,1
31,100267,Male,0,36,25.04,1
48,78627,Female,0,266,6.15,1
32,43872,Male,0,232,46.56,1
25,48455,Female,1,140,33.39,1
31,86466,Male,1,127,51.01,1
40,92269,Male,0,263,30.19,1
57,46521,Male,0,222,47.44,1
38,81364,Male,0,140,19.86,1
33,72828,Male,0,139,6.63,1
35,82378,Female,0,236,47.78,1
41,78943,Male,0,142,1.07,1
43,80232,Male,0,96,34.14,1
42,21364,Female,0,187,46.08,1
58,115596,Male,1,171,14.18,1
46,105383,Male,1,277,8.67,1
32,69626,Male,1,62,17.98,1
18,40497,Male,1,234,14.5,1
42,84080,Male,0,222,10.77,1
24,33451,Female,0,54,32.76,1
26,111923,Female,0,103,31.33,1
41,65964,Female,0,191,36.66,1
18,55089,Female,0,103,40.2,1
25,84591,Female,0,255,51.46,1
41,58261,Female,0,179,15.68,1
28,62999,Female,1,114,59.53,1
34,50160,Female,0,294,43.23,1
25,85627,Male,0,43,29.87,1
52,77687,Male,1,58,12.85,1
52,96258,Female,1,288,6.4,1
50,29372,Male,0,77,40.06,1
22,39570,Male,1,125,5.83,1
59,57059,Female,1,144,47.32,1
56,97781,Male,0,231,30.35,1
58,34373,Male,0,94,37.82,1
45,48760,Male,0,41,41.69,1
24,105510,Male,0,275,47.29,1
26,83242,Female,1,185,59.14,1
25,97008,Female,0,177,47.47,1
29,67722,Male,0,158,55.63,1
51,114207,Female,0,94,46.69,1
50,33722,Female,1,82,35.83,1
40,64639,Female,1,166,51.95,1
41,62585,Female,0,54,54.07,1
54,62894,Female,0,297,5.07,1
52,38612,Female,0,277,2.46,1
57,83861,Male,1,161,47.16,1
39,39384,Female,0,88,29.07,1
44,36691,Male,0,163,33.55,1
52,15000,Female,1,92,48.72,1
18,51446,Female,0,252,11.43,1
52,73667,Female,0,180,48.17,1
54,77211,Female,0,247,53.25,1
31,64399,Male,0,62,15.84,1
20,53258,Female,1,63,39.18,1
18,59861,Male,1,266,55.84,1
22,53134,Male,0,69,39.84,1
43,121348,Female,0,205,13.25,1
31,39292,Male,0,48,34.26,1
56,50616,Female,0,197,57.99,1
44,69987,Male,0,38,54.59,1
26,42596,Male,0,174,9.88,1
32,71152,Female,1,282,21.35,1
32,29047,Female,1,257,3.88,1
43,73096,Female,0,89,29.37,1
59,58893,Male,0,143,37.46,1
30,51366,Male,0,259,7.18,1
49,62703,Female,0,101,15.74,1
56,56476,Male,0,214,45.34,1
49,59928,Male,1,120,46.33,1
21,89165,Female,0,262,48.68,1
47,114975,Male,0,264,7.35,1
54,15000,Male,1,165,33.34,1
40,64196,Male,0,194,14.13,1
56,37930,Male,0,72,52.84,1
32,61470,Female,0,38,15.45,1
46,80068,Female,1,258,56.2,1
53,129679,Male,0,266,48.95,1
30,61940,Male,1,235,27.93,1
49,73246,Male,0,76,23.39,1
24,47152,Male,1,96,17.92,1
39,45845,Female,0,104,55.25,1
45,44655,Female,1,246,13.56,1
19,52060,Male,1,88,37.61,1
59,58131,Male,0,258,25.81,1
23,105538,Female,1,206,3.21,1
45,61344,Male,0,115,27.97,1
45,83876,Male,1,205,42.81,1
37,77351,Female,0,114,46.72,1
47,93805,Female,0,122,48.25,1
28,22447,Female,0,208,14.87,1
45,78575,Male,0,82,56.14,1
42,75740,Male,0,219,38.13,1
56,67504,Male,1,247,19.25,1
50,96907,Male,1,248,26.54,1
18,66978,Male,0,234,35.1,1
44,91973,Female,0,78,13.45,1
30,74251,Female,1,81,57.59,1
58,76183,Male,1,296,11.64,1
20,77904,Male,0,127,22.7,1
56,65015,Female,0,164,40.9,1
23,109099,Female,0,95,34.33,1
25,96889,Male,0,37,18.08,1
44,68511,Male,0,128,38.57,1
26,74274,Female,1,293,44.52,1
54,82024,Male,0,187,1.73,1
50,90251,Female,0,177,1.15,1
59,110317,Male,0,141,16.35,1
41,92669,Male,0,184,41.07,1
32,65639,Female,1,260,36.04,1
49,49561,Male,0,157,35.25,1
49,94804,Female,1,169,15.13,1
41,77225,Female,0,38,44.08,1
58,45436,Male,1,149,58.04,1
29,91333,Female,1,156,26.41,1
56,107910,Male,1,182,30.11,1
19,70177,Male,0,247,46.72,1
20,109165,Male,1,292,40.95,1
54,89154,Female,0,61,41.32,1
34,41035,Female,0,222,22.88,1
19,80563,Male,0,247,33.02,1
19,25721,Female,1,122,31.19,1
45,78850,Female,0,262,10.59,1
40,44384,Female,0,275,26.15,1
54,74807,Male,1,100,5.99,1
49,86938,Female,0,205,15.16,1
50,55293,Female,0,86,20.15,1
18,112262,Female,0,196,14.99,1
36,46963,Male,0,40,19.57,1
19,16532,Male,0,203,54.25,1
43,69277,Female,1,67,4.07,1
49,104129,Male,1,138,12.01,1
23,69475,Male,1,220,28.25,1
49,55174,Male,0,70,24.13,1
21,28783,Male,1,271,51.32,1
28,55713,Male,0,209,2.39,1
34,41446,Female,0,261,15.04,1
55,76091,Female,0,247,40.85,1
41,78210,Male,0,77,13.8,1
22,46276,Female,0,130,39.35,1
51,61843,Female,0,210,44.58,1
23,106155,Male,1,130,49.41,1
39,59351,Female,0,124,17.73,1
28,58716,Male,0,126,18.33,1
33,74662,Female,1,108,22.75,1
50,34752,Male,1,201,39.57,1
26,93745,Male,0,264,33.82,1
23,59672,Male,1,31,11.18,1
33,41048,Female,1,254,18.69,1
46,83432,Female,0,256,49.99,1
20,57807,Female,1,198,13.77,1
37,48104,Male,1,252,6.26,1
53,71816,Female,0,145,45.8,1
36,96294,Female,0,276,6.3,1
43,59732,Male,0,267,35.01,1
20,45870,Female,0,212,39.95,1
36,15000,Female,0,219,57.69,1
37,33748,Female,0,166,50.69,1
49,57940,Male,1,270,6.44,1
24,37314,Female,0,199,17.27,1
58,52530,Female,0,128,50.52,1
50,118200,Female,0,261,38.15,1
57,100778,Female,1,288,51.0,1
56,49547,Female,0,180,25.47,1
35,73452,Male,0,203,42.92,1
57,42986,Female,1,98,8.89,1
18,109052,Male,0,45,28.23,1
28,71778,Male,1,225,6.56,1
45,96255,Female,1,131,23.71,1
42,50333,Female,1,255,52.22,1
40,110031,Male,0,125,44.4,1
48,59001,Male,1,274,6.02,1
47,25855,Female,0,245,30.15,1
59,65662,Female,0,61,59.96,1
52,52828,Female,0,237,55.52,1
24,95127,Male,0,127,4.35,1
33,54489,Male,1,140,47.96,1
43,83445,Male,0,201,29.89,1
19,52943,Female,0,33,8.98,1
18,48854,Female,0,204,2.92,1
29,70020,Male,0,90,45.28,1
22,83293,Female,0,224,13.43,1
54,30989,Female,0,134,17.29,1
49,93073,Female,0,31,48.36,1
26,93426,Male,0,133,43.43,1
58,62386,Male,1,172,39.9,1
52,65243,Male,0,55,7.19,1
36,15000,Female,0,75,4.08,1
33,115066,Female,0,52,16.43,1
20,61957,Male,0,172,23.44,1
37,97098,Female,0,90,11.98,1
41,54873,Female,0,38,57.45,1
50,70072,Male,1,86,9.82,1
41,83076,Male,0,99,50.06,1
28,58527,Female,0,170,23.01,1
25,30870,Male,1,93,33.87,1
53,66853,Female,1,98,29.97,1
55,34639,Female,0,134,31.12,1
57,48430,Female,0,91,3.34,1
37,54249,Female,0,62,11.14,1
52,71974,Male,1,219,36.75,1
42,53925,Female,1,235,8.79,1
52,39517,Male,1,202,5.53,1
42,74694,Female,0,236,35.4,1
46,86306,Male,0,179,23.3,1
35,35340,Male,0,86,39.59,1
35,70476,Female,1,238,23.9,1
19,88811,Female,0,43,51.53,1
52,72536,Female,0,181,36.97,1
33,39739,Female,1,210,2.96,1
58,75985,Male,0,110,14.18,1
53,69991,Female,0,241,41.14,1
50,73799,Female,0,210,8.87,1
21,70944,Male,0,242,30.55,1
50,19535,Female,1,80,34.52,1
31,65661,Female,0,168,46.27,1
38,93757,Male,0,263,59.39,1
37,105927,Male,0,135,9.29,1
25,94859,Male,0,54,28.87,1
24,70645,Female,1,132,30.47,1
20,87293,Male,0,225,6.85,1
34,83574,Female,0,218,20.65,1
50,64198,Male,0,220,57.33,1
29,98732,Male,1,60,54.32,1
39,53832,Female,0,230,23.4,1
39,67307,Female,0,124,55.46,1
47,92553,Male,0,132,22.05,1
55,47079,Male,1,294,37.19,1
55,36604,Female,0,285,51.59,1
25,45742,Male,0,47,11.42,1
44,81104,Male,0,233,42.89,1
44,125838,Female,1,292,43.5,1
51,99945,Female,1,171,13.89,1
38,89569,Female,0,65,43.57,1
47,109149,Female,0,228,34.38,1
50,77235,Female,0,66,16.79,1
45,54554,Male,0,116,35.1,1
50,68465,Female,1,201,30.72,1
22,63311,Female,1,128,57.91,1
36,45922,Female,0,269,55.59,1
21,64791,Female,0,67,18.73,0
52,31002,Male,0,216,23.65,1
34,61934,Female,0,54,32.44,1
45,67556,Female,0,226,54.82,1
47,65676,Male,0,282,15.59,1
46,112072,Female,1,54,26.19,1
23,75007,Male,0,42,10.11,1
52,114116,Female,1,125,14.04,1
58,35689,Male,0,99,40.16,1
54,91908,Female,1,116,46.93,1
41,75349,Male,0,231,56.79,1
46,67563,Female,1,294,52.11,1
48,36859,Female,1,256,50.68,1
52,78506,Male,0,174,40.8,1
50,126857,Female,0,193,52.41,1
38,81015,Male,0,144,50.24,1
49,68844,Male,1,286,11.24,1
40,73717,Female,1,115,19.28,1
50,84741,Male,0,279,45.51,1
20,109065,Male,0,73,35.58,1
35,60757,Female,0,281,23.2,1
42,74624,Female,0,233,2.75,1
59,70120,Female,1,128,53.96,1
48,58609,Female,0,202,36.54,1
20,74904,Female,0,31,43.79,0
57,108266,Male,1,285,46.19,1
41,53699,Female,0,92,29.14,1
49,79210,Female,0,159,51.91,1
39,80063,Male,0,186,12.64,1
40,69754,Female,1,234,43.46,1
19,80759,Male,0,110,26.24,1
44,79668,Female,1,246,25.71,1
59,47141,Female,0,31,38.46,1
19,68497,Female,0,232,19.44,1
43,69619,Male,0,221,18.54,1
34,43774,Female,0,224,38.61,1
57,71473,Female,0,170,29.81,1
50,69310,Male,0,201,43.46,1
26,120582,Female,0,177,19.68,1
56,49383,Male,0,117,12.32,1
46,95008,Male,0,223,40.01,1
59,81832,Male,0,152,3.04,1
43,95824,Male,0,53,26.93,1
52,49969,Male,0,138,7.16,1
42,22934,Female,1,202,48.36,1
41,67316,Female,1,181,31.92,1
30,89264,Female,1,30,54.43,1
24,61962,Female,1,46,4.33,1
53,66314,Female,1,78,27.01,1
37,119385,Female,1,52,49.48,1
18,51812,Male,0,129,35.6,1
25,93135,Male,0,137,51.97,1
33,45478,Male,0,270,6.44,1
31,98754,Female,1,50,33.84,1
29,68254,Female,0,59,56.02,1
40,82208,Male,1,38,2.0,1
32,53936,Female,0,175,45.11,1
45,72354,Female,1,242,47.54,1
51,74218,Female,1,57,25.42,1
19,34659,Female,0,80,16.63,1
49,57667,Female,1,107,11.45,1
40,76679,Male,0,36,46.6,1
39,51155,Female,0,167,24.61,1
42,74384,Male,0,140,39.84,1
39,65371,Female,0,175,2.11,1
39,84858,Female,0,187,5.03,1
59,65788,Male,0,175,41.17,1
23,129521,Male,1,45,14.79,1
32,20764,Male,0,259,8.92,1
54,50174,Male,1,281,21.0,1
50,86952,Male,1,74,55.89,1
25,74640,Female,0,295,24.76,1
22,80907,Male,1,169,35.04,1
56,15000,Male,0,157,40.45,1
21,65448,Female,0,285,32.07,1
23,70154,Male,0,91,48.81,1
49,85210,Male,0,160,51.02,1
47,78889,Male,1,207,37.97,1
52,70326,Male,1,96,46.1,1
57,67448,Female,0,254,42.59,1
33,38510,Male,0,238,9.42,1
30,78625,Male,1,252,30.6,1
59,66924,Female,1,208,28.57,1
47,59204,Female,1,167,9.62,1
36,69671,Female,0,236,7.4,1
34,61006,Female,0,35,4.13,1
36,33822,Female,0,153,5.07,1
45,86422,Male,0,217,6.11,1
43,116796,Female,1,122,28.18,1
54,76931,Female,0,278,12.76,1
43,77384,Male,1,172,45.95,1
40,107489,Female,0,167,8.15,1
26,117579,Female,0,100,28.95,1
29,65606,Female,0,165,36.98,1
18,51944,Female,0,207,9.54,1
18,80911,Male,1,109,11.45,1
51,73937,Female,1,31,14.98,1
49,94155,Male,0,185,30.05,1
42,70093,Female,1,109,16.51,1
57,71918,Male,0,138,59.04,1
18,45991,Female,0,166,38.56,1
33,95533,Male,0,136,30.31,1
56,54115,Male,0,36,3.51,1
22,40164,Male,0,151,59.72,1
39,15000,Female,0,99,30.93,1
46,67470,Male,0,180,40.79,1
20,52240,Female,1,237,29.53,1
29,64157,Male,0,295,53.08,1
43,57781,Female,1,290,54.96,1
33,60867,Female,0,32,33.01,1
54,49413,Male,0,37,46.33,1
39,51302,Male,0,92,29.5,1
46,46271,Male,1,199,26.19,1
31,65082,Female,0,160,20.56,1
45,41370,Male,0,43,13.92,1
22,101445,Male,1,130,36.83,1
47,69773,Female,1,94,29.74,1
22,31614,Female,1,202,7.59,1
29,75494,Male,0,77,27.62,1
33,47546,Male,1,256,26.35,1
43,96123,Male,0,293,32.12,1
43,54670,Female,1,260,12.7,1
38,104833,Male,1,199,34.8,1
56,94992,Male,0,211,3.91,1
53,161005,Male,0,131,51.61,1
50,72436,Female,0,186,25.78,1
47,87237,Male,1,100,37.96,1
54,70315,Female,1,175,11.89,1
40,72126,Male,0,221,32.43,1
27,100824,Female,1,285,3.96,1
22,89313,Male,0,178,27.63,1
53,67697,Male,0,257,26.5,1
51,103021,Male,0,102,49.59,1
48,95031,Female,1,57,59.93,1
27,108913,Male,0,98,57.15,1
36,100507,Female,0,88,27.35,1
49,61163,Male,1,215,28.81,1
18,58487,Male,0,143,25.29,1
22,59362,Female,1,37,59.99,1
21,89521,Male,0,144,54.64,1
33,103572,Male,0,178,50.87,1
41,96458,Female,0,176,54.14,1
33,34298,Female,0,35,28.89,1
19,52136,Male,0,41,8.55,1
45,87081,Female,1,210,32.75,1
49,100724,Female,1,115,50.52,1
44,77702,Female,0,224,1.11,1
37,108199,Male,0,217,13.56,1
41,22734,Female,1,150,7.38,1
29,64766,Female,0,125,22.68,1
52,105428,Female,1,91,38.87,1
50,78478,Male,1,279,30.85,1
50,49873,Female,1,295,21.0,1
54,89746,Female,1,138,55.73,1
29,73435,Female,1,75,36.07,1
20,58450,Male,1,198,24.77,1
18,30709,Female,0,238,11.16,1
50,87406,Female,1,45,58.26,1
57,42832,Male,0,199,2.36,1
27,123554,Male,0,129,51.15,1
46,25438,Male,1,231,42.37,1
30,71370,Male,1,289,52.67,1
29,88788,Male,0,84,40.66,1
48,44574,Male,0,184,35.87,1
19,52261,Male,1,217,44.18,1
52,91255,Female,0,69,11.99,1
40,46232,Female,0,241,23.38,1
34,118015,Female,0,156,49.82,1
43,71390,Female,0,38,13.01,1
25,59512,Male,0,266,45.48,1
46,110553,Female,0,239,59.15,1
43,43535,Male,1,133,25.76,1
27,113244,Female,0,78,11.79,1
43,45440,Male,0,231,20.28,1
51,101487,Female,0,248,4.55,1
58,116610,Male,0,189,12.51,1
24,67400,Male,0,58,2.75,1
21,67320,Male,0,116,20.28,1
28,62873,Female,1,165,1.22,1
46,50452,Male,1,260,19.2,1
53,72119,Male,1,250,50.07,1
42,92668,Female,1,206,26.74,1
38,84699,Male,0,55,47.31,1
53,82716,Female,0,122,35.7,1
27,51662,Male,0,112,31.22,1
54,43058,Male,1,131,19.69,1
26,114195,Female,0,79,58.61,1
41,36625,Male,0,147,14.92,1
52,66203,Female,0,217,10.87,1
52,88807,Male,0,194,19.49,1
53,108028,Female,1,65,37.0,1
35,70536,Female,0,61,14.35,1
56,76858,Female,0,53,30.93,1
49,58186,Male,0,123,9.0,1
41,113270,Male,0,49,51.05,1
40,104307,Male,0,205,49.76,1
49,44988,Female,0,299,50.07,1
54,86407,Male,0,182,25.32,1
29,67099,Female,0,164,34.13,1
30,77809,Male,0,231,38.79,1
40,49966,Female,0,72,40.52,1
42,21142,Male,0,36,12.55,1
52,42284,Male,0,182,1.85,1
58,56109,Female,1,192,37.99,1
47,57530,Male,0,264,50.9,1
34,15000,Male,1,222,26.42,1
37,77785,Male,0,207,37.71,1
42,34764,Female,1,195,29.63,1
39,69020,Male,0,35,50.54,1
30,40402,Female,0,86,30.97,1
36,25267,Male,0,274,16.34,1
53,68755,Female,0,42,26.71,1
29,64987,Male,0,150,42.84,1
58,72363,Female,0,251,2.64,1
36,109905,Male,0,66,42.46,1
29,87743,Male,0,239,10.19,1
26,119274,Male,0,296,27.02,1
24,62323,Female,0,33,45.24,1
45,51958,Male,0,237,37.49,1
31,81466,Female,0,32,15.77,1
48,116459,Male,0,188,34.22,1
36,42026,Female,0,211,25.91,1
33,105003,Male,0,60,47.71,1
22,81877,Male,0,74,18.41,1
52,58968,Male,0,149,6.66,1
29,107582,Male,0,63,21.28,1
42,40009,Female,1,199,56.68,1
38,86689,Female,0,278,51.41,1
53,65361,Female,0,244,52.9,1
40,97936,Male,1,136,22.43,1
33,78373,Male,1,195,56.43,1
56,97427,Female,1,187,2.78,1
59,71204,Female,0,293,37.55,1
56,59127,Male,0,153,49.67,1
31,67977,Female,1,251,49.17,1
48,74574,Male,1,242,42.15,1
22,78808,Male,1,131,32.02,1
52,87059,Female,1,39,24.34,1
40,70412,Female,1,132,25.43,1
46,86991,Female,0,115,7.54,1
28,125470,Male,0,293,24.07,1
35,51900,Female,1,81,12.34,1
29,95116,Male,0,174,4.4,1
26,52980,Male,0,58,57.68,1
27,46413,Male,0,63,58.8,1
34,105888,Female,0,276,34.74,1
55,47480,Female,1,169,24.98,1
24,69367,Female,1,243,58.6,1
30,49994,Male,1,49,54.09,1
57,130453,Female,1,177,42.91,1
59,69292,Male,0,166,10.26,1
26,42483,Female,0,220,50.01,1
44,48298,Male,0,182,30.72,1
19,123041,Female,0,164,1.55,1
22,64644,Male,0,51,28.73,1
46,67957,Female,0,89,33.68,1
54,107110,Female,0,107,34.68,1
55,101837,Male,0,159,59.29,1
36,48041,Female,0,246,16.1,1
25,50113,Female,0,228,28.68,1
18,56177,Male,0,152,39.52,1
39,61822,Female,0,226,35.08,1
34,90807,Male,0,63,18.59,1
24,67827,Male,0,128,44.71,1
42,62344,Male,0,106,44.2,1
21,70125,Male,0,228,16.76,1
53,55866,Female,1,191,9.74,1
23,108896,Male,0,93,29.31,1
48,52580,Male,0,76,22.27,1
36,70669,Female,1,64,47.73,1
56,85436,Male,0,266,44.43,1
44,86871,Female,0,251,32.67,1
27,60271,Female,1,288,23.44,1
43,97411,Female,0,79,29.82,1
36,123577,Female,0,229,26.6,1
56,115054,Male,0,108,21.94,1
20,15000,Female,0,150,19.23,1
30,67918,Male,0,187,7.87,1
45,53453,Male,0,194,54.04,1
37,83903,Female,0,135,2.0,1
45,96302,Male,0,167,59.18,1
25,41268,Male,0,33,10.08,1
58,91698,Female,0,242,42.12,1
56,69337,Female,0,39,32.28,1
18,63439,Male,0,84,56.6,1
20,83215,Male,0,149,35.87,1
30,66368,Female,0,158,11.16,1
45,98322,Female,0,189,36.36,1
42,60154,Male,1,263,13.89,1
50,103334,Male,0,294,29.65,1
55,69470,Female,1,258,47.11,1
23,15000,Male,0,91,4.79,1
49,49923,Female,1,206,29.21,1
38,67386,Female,0,109,1.51,1
33,79239,Male,0,271,56.1,1
38,67533,Male,0,125,29.76,1
28,52569,Male,0,129,54.39,1
54,114523,Male,0,292,2.86,1
53,105103,Female,0,158,25.21,1
52,39820,Male,0,129,39.5,1
36,48942,Male,0,201,15.36,1
37,77978,Male,0,156,15.41,1
35,66192,Male,0,222,56.75,1
58,15000,Male,1,163,37.09,1
31,52025,Female,0,193,25.46,1
32,88326,Female,0,126,39.41,1
48,72803,Female,0,54,19.19,1
18,46721,Female,1,267,58.74,1
20,56022,Female,0,46,23.31,1
33,64418,Male,0,127,11.17,1
40,134018,Male,1,254,31.91,1
28,70905,Male,0,240,52.82,1
29,51921,Female,0,52,21.14,1
27,115077,Male,0,291,43.8,1
49,84492,Female,1,32,8.7,1
33,49866,Male,0,239,27.49,1
25,70483,Female,1,72,8.37,1
55,65210,Female,1,145,18.02,1
29,83715,Female,1,118,37.23,1
41,38564,Female,1,36,12.94,1
45,40210,Female,0,90,28.68,1
25,63570,Male,0,290,42.98,1
45,47995,Female,1,163,8.29,1
53,95430,Male,0,196,4.76,1
43,44288,Female,1,213,25.23,1
25,130186,Female,0,103,19.71,1
45,66205,Male,0,167,51.65,1
45,73288,Female,0,155,53.6,1
54,78775,Female,1,119,4.71,1
58,68177,Male,0,92,17.44,1
53,99492,Female,0,166,18.25,1
44,73639,Male,0,219,38.05,1
34,56964,Female,0,178,8.65,1
26,35874,Female,1,263,34.46,1
50,79782,Female,0,38,14.27,1
37,92859,Male,1,233,16.5,1
30,38315,Male,0,31,49.64,1
45,60471,Male,0,97,21.71,1
46,94142,Male,0,81,37.88,1
30,48716,Male,1,268,59.35,1
52,48488,Female,0,165,55.47,1
23,66210,Female,1,259,27.7,1
35,102883,Male,0,125,16.68,1
22,92964,Male,0,199,14.41,1
42,102901,Male,0,68,38.64,1
19,45159,Male,0,269,25.67,1
27,53510,Female,0,87,29.55,1
47,65539,Male,0,257,47.36,1
22,62337,Male,0,201,48.21,1
50,50580,Female,0,141,39.75,1
18,82020,Male,1,79,26.32,1
35,29254,Male,0,224,34.06,1
49,73740,Female,1,75,32.1,1
28,111546,Female,0,101,46.67,1
38,71962,Male,0,76,9.24,1
43,49194,Female,1,83,22.81,1
42,37989,Female,0,174,46.8,1
39,79020,Female,0,179,33.81,1
44,113409,Female,0,213,9.38,1
30,75335,Male,0,130,4.76,1
50,61619,Male,0,180,41.0,1
51,50925,Female,0,69,9.84,1
58,33065,Male,0,178,46.77,1
52,76812,Female,0,236,34.3,1
18,29962,Female,0,124,6.7,1
38,92879,Female,0,100,46.66,1
23,85677,Female,1,273,12.82,1
45,64598,Female,0,276,17.18,1
34,86194,Female,0,46,56.23,1
22,74317,Male,0,244,8.24,1
48,85971,Female,1,150,26.08,1
22,92366,Female,0,215,24.95,1
55,63624,Female,0,242,29.21,1
20,37591,Female,0,68,13.51,1
40,126450,Female,1,186,15.39,1
54,64668,Male,1,185,54.79,1
54,59300,Female,0,275,22.04,1
27,81099,Male,0,240,28.04,1
27,65167,Female,0,150,1.86,1
36,38550,Male,0,57,11.67,1
34,40204,Male,0,242,50.95,1
38,47741,Female,0,33,54.17,1
31,78933,Male,0,204,55.51,1
26,52613,Male,1,287,39.08,1
18,93387,Male,1,254,44.04,1
30,66125,Female,0,181,10.7,1
21,68033,Male,0,195,45.75,1
18,71499,Male,0,157,56.42,1
57,44014,Male,0,54,11.86,1
49,101880,Female,1,233,13.75,1
51,77756,Female,0,249,56.0,1
45,65672,Female,0,103,4.5,1
48,56770,Female,1,30,27.07,1
25,56286,Male,1,241,28.27,1
56,41069,Male,0,138,19.57,1
43,36709,Female,0,67,17.71,1
51,36715,Male,1,135,43.61,1
20,96573,Female,1,233,52.55,1
29,50836,Female,0,206,16.82,1
18,43092,Male,0,45,34.88,1
22,102198,Female,0,292,10.51,1
47,71517,Female,1,271,2.76,1
47,40655,Male,0,199,4.29,1
34,84268,Female,0,91,30.98,1
40,106329,Female,0,244,21.23,1
32,86950,Female,0,102,51.75,1
54,73454,Female,0,216,23.68,1
38,81697,Male,1,131,36.16,1
31,99870,Male,0,270,10.73,1
19,113199,Female,0,179,19.83,1
28,46223,Female,0,290,24.3,1
56,70559,Female,0,74,34.84,1
55,85114,Male,0,63,29.0,1
51,74299,Female,0,121,15.21,1
55,83242,Male,0,286,6.38,1
51,125215,Male,0,207,38.7,1
35,63454,Male,0,158,52.39,1
47,34681,Male,0,65,16.11,1
32,116251,Female,1,40,2.42,1
44,114194,Male,0,208,29.24,1
51,83581,Female,1,260,15.34,1
55,57621,Female,0,33,32.47,1
50,91438,Male,1,261,13.4,1
41,70816,Male,1,45,39.35,1
32,62265,Male,0,272,58.52,1
47,53089,Male,0,194,39.74,1
59,69593,Female,0,58,19.15,1
34,83672,Female,0,206,53.0,1
22,74104,Male,0,231,50.61,1
46,92107,Female,1,165,25.97,1
21,64519,Female,0,258,51.41,1
27,59534,Male,0,47,34.81,1
34,79685,Female,0,148,35.93,1
27,72157,Female,1,174,27.02,1
34,107101,Male,1,268,51.44,1
37,61335,Male,0,232,36.26,1
41,57442,Female,0,145,5.56,1
22,65779,Female,0,90,30.2,1
51,59670,Male,0,202,27.49,1
23,54244,Female,0,169,46.36,1
19,29196,Female,0,43,59.08,1
30,41160,Female,0,222,25.43,1
28,66994,Female,0,276,36.49,1
40,37310,Male,0,86,47.28,1
33,84116,Male,1,171,49.24,1
48,79249,Female,0,206,30.71,1
28,53252,Male,0,195,32.69,1
33,68678,Female,1,221,15.12,1
25,65209,Female,1,142,59.3,1
21,24879,Female,0,213,14.26,1
57,81123,Male,1,297,18.6,1
21,55062,Male,0,84,24.33,1
42,45631,Male,1,156,21.47,1
20,86955,Female,1,67,34.79,1
49,76080,Female,0,88,56.27,1
20,92781,Female,0,262,4.87,1
44,67052,Male,0,43,22.27,1
46,75382,Male,0,72,28.01,1
49,89978,Male,0,42,25.45,1
36,111908,Female,1,221,11.58,1
38,62213,Male,0,162,59.72,1
22,76202,Male,1,91,17.79,1
35,84339,Female,0,78,49.67,1
45,84139,Female,0,147,20.41,1
59,57170,Female,1,299,1.71,1
39,67199,Female,0,69,9.93,1
38,84094,Male,0,224,29.91,1
23,74400,Male,0,287,31.48,1
18,117865,Male,1,214,13.94,1
